Dashboard,Tableau de bord
Patients,Patients
Patient Registration,Inscription du patient
Reports,Rapports
Line list,Liste de lignes
Notification Summary,Résumé des notifications
Outcome Notification,Notification du résultat
Referrals,Transfert
Settings,Réglages
Language Preference,Préférence linguistique
Cache Cleaner,nettoyage du cash
Back to list,Retour à la liste
Delete case,Supprimer le cas
Add Pre-treatment Examination(s),Ajouter des examens de prétraitement
There is no data for Pre-treatment Examination(s),Il n’y a pas de données pour les examens préalables au traitement.
There is no data for,Il n’y a pas de données pour
Back,Arrière
Registering unit,Unité d’enregistrement
Start Date,Date de début
End Date,Date de fin
Last name ,Prénom
Country TB Number ,Numéro TB du pays 
TIMS ID number,Numéro d’identification TIMS
DS TB Notification,Notification du DS TB 
DR TB Notification,Notification du DR TB
DS TB Outcome,Résultat du CT DS
DR TB Notification,Notification du DR TB
Patients List,Liste des patients
Referral Summary,Résumé du transfert
Referred Patients,Patients référés
Clinical characteristics,Caractéristiques du clinique
First Line DST,Première ligne du DST
GeneXpert,GeneXpert
Histopathology (Biopsy),Historique des pathologies
Patient Clinical Characteristics,Caractéristiques cliniques du patient
Radiological Investigation,l'investigationde la radiologique
Second Line DST,Deuxième ligne du DST
Smear Microscopy,Microscopie à frottis
Substance(s) Use,Consommation de substances
Transferring In,Transfert dans
Transferring To,Transfert à
Treatment classification,Classification des traitements
Truenat,Truenat
Urine LAM,Urine de LAM
Tracked Entity Attribute,Attribut d'entité suivie
Age (In years),Âge (en années)
Allergies,Allergies
Allergies Medication,Médicaments contre les allergies
Alternative contact ID,Autre code de contact
Alternative contact ID Type,Autre type d’Identifiant de contact
Alternative contact first name,Autre prénom du contact
Alternative contact last name,Autre nom de famille de la personne-ressource
Alternative contact middle name,Autre deuxième prénom du contact
Alternative contact nationality,Autre nationalité de contact
Alternative contact phone number,Autre numéro de téléphone
Alternative contact relationship,Autre relation de contact
Alternative number,Numéro alternatif
Asthma,Asthme
Asthma Medication,Médicaments contre l’asthme
Key population/At risk population,Population clé/population à risque
COPD Medication,Médicament contre la MPOC
Contact of the employer,Contact de l’employeur
Contact phone number,Numéro de téléphone de la personne-ressource
Country TB Number,Numéro TB du pays
Country of origin,Pays d’origine
Country of residential,Pays de résidence
Country/facility referred to,Pays/établissement de transfert
Current residential address,Adresse de la résidence actuelle
Date of birth,Date de naissance
Date of notification,Date de la notification
Date of referral,Date du transfert
